VehicleID,Type,Battery_Level_Pct,Days_Since_Maintenance,Trip_Count,Total_Revenue,Avg_Fare,Avg_Duration,Peak_Trip_Count,Weekend_Trip_Count,Rain_Trip_Count,Heavy_Rain_Trip_Count,Unique_Start_Stations,Unique_End_Stations,Vehicle_Needs_Action
V0025,E-Bike,83,47,2.0,73500.0,36750.0,24.5,2.0,1.0,1.0,1.0,2.0,2.0,1
V0026,E-Bike,47,69,4.0,192000.0,48000.0,32.0,1.0,0.0,2.0,1.0,3.0,4.0,1
V0027,E-Bike,43,50,2.0,94500.0,47250.0,31.5,1.0,1.0,0.0,0.0,2.0,1.0,1
V0028,E-Bike,100,75,3.0,136500.0,45500.0,30.333333333333332,3.0,1.0,0.0,0.0,3.0,3.0,1
V0029,E-Bike,10,45,1.0,60000.0,60000.0,40.0,1.0,1.0,0.0,0.0,1.0,1.0,1
V0030,E-Bike,96,78,4.0,109500.0,27375.0,18.25,3.0,2.0,1.0,1.0,3.0,4.0,1
V0031,E-Bike,45,53,3.0,117000.0,39000.0,26.0,1.0,1.0,0.0,0.0,3.0,3.0,1
V0032,E-Bike,54,33,3.0,66000.0,22000.0,14.666666666666666,1.0,2.0,1.0,0.0,1.0,2.0,1
V0033,E-Bike,56,39,4.0,90000.0,22500.0,15.0,1.0,0.0,0.0,0.0,4.0,4.0,1
V0034,E-Bike,28,48,4.0,153000.0,38250.0,25.5,4.0,1.0,0.0,0.0,3.0,3.0,1
V0035,E-Bike,20,75,2.0,79500.0,39750.0,26.5,2.0,1.0,0.0,0.0,2.0,1.0,1
V0036,E-Bike,92,71,2.0,81000.0,40500.0,27.0,1.0,1.0,0.0,0.0,2.0,1.0,1
V0037,E-Bike,61,35,4.0,93000.0,23250.0,15.5,0.0,1.0,1.0,1.0,3.0,4.0,1
V0038,E-Bike,59,52,7.0,222000.0,31714.285714285714,21.142857142857142,3.0,0.0,2.0,0.0,5.0,4.0,1
V0039,E-Bike,96,54,4.0,118500.0,29625.0,19.75,2.0,0.0,1.0,0.0,3.0,3.0,1
V0040,E-Bike,82,41,2.0,82500.0,41250.0,27.5,2.0,1.0,1.0,1.0,2.0,1.0,1
V0041,E-Bike,27,32,5.0,267000.0,53400.0,35.6,1.0,1.0,2.0,2.0,3.0,4.0,1
V0042,E-Bike,84,55,1.0,30000.0,30000.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1
V0043,E-Bike,77,78,3.0,162000.0,54000.0,36.0,0.0,2.0,0.0,0.0,3.0,3.0,1
V0044,E-Bike,22,70,8.0,334500.0,41812.5,27.875,3.0,2.0,3.0,1.0,5.0,5.0,1
V0045,E-Bike,74,41,4.0,159000.0,39750.0,26.5,1.0,0.0,1.0,1.0,4.0,4.0,1
V0046,E-Bike,82,39,6.0,166500.0,27750.0,18.5,2.0,2.0,3.0,1.0,4.0,4.0,1
V0047,E-Bike,42,73,2.0,63000.0,31500.0,21.0,0.0,1.0,0.0,0.0,2.0,2.0,1
V0048,E-Bike,73,68,2.0,96000.0,48000.0,32.0,1.0,0.0,0.0,0.0,2.0,2.0,1
V0049,E-Bike,56,42,4.0,130500.0,32625.0,21.75,1.0,0.0,1.0,1.0,2.0,4.0,1
V0050,E-Bike,76,58,2.0,88500.0,44250.0,29.5,2.0,2.0,0.0,0.0,2.0,2.0,1
V0051,E-Bike,76,51,4.0,157500.0,39375.0,26.25,3.0,1.0,2.0,1.0,4.0,4.0,1
V0052,E-Bike,78,48,2.0,69000.0,34500.0,23.0,2.0,0.0,0.0,0.0,1.0,2.0,1
V0053,E-Bike,69,63,2.0,76500.0,38250.0,25.5,1.0,0.0,0.0,0.0,2.0,2.0,1
V0054,E-Bike,94,69,2.0,70500.0,35250.0,23.5,1.0,0.0,0.0,0.0,2.0,2.0,1
V0055,E-Bike,10,60,2.0,57000.0,28500.0,19.0,1.0,1.0,1.0,0.0,2.0,1.0,1
V0056,E-Bike,66,40,7.0,267000.0,38142.857142857145,25.428571428571427,3.0,3.0,2.0,0.0,5.0,4.0,1
V0057,E-Bike,73,63,5.0,199500.0,39900.0,26.6,4.0,2.0,1.0,1.0,4.0,5.0,1
V0058,E-Bike,98,34,5.0,237000.0,47400.0,31.6,2.0,2.0,4.0,2.0,4.0,4.0,1
V0059,E-Bike,10,57,5.0,157500.0,31500.0,21.0,3.0,1.0,1.0,0.0,5.0,3.0,1
V0060,E-Bike,84,85,4.0,159000.0,39750.0,26.5,2.0,1.0,0.0,0.0,3.0,3.0,1
V0061,E-Bike,77,40,4.0,127500.0,31875.0,21.25,1.0,0.0,0.0,0.0,3.0,4.0,1
V0062,E-Bike,91,87,5.0,184500.0,36900.0,24.6,2.0,0.0,1.0,0.0,4.0,4.0,1
V0063,E-Bike,33,85,6.0,246000.0,41000.0,27.333333333333332,4.0,3.0,0.0,0.0,4.0,5.0,1
V0064,E-Bike,60,66,2.0,117000.0,58500.0,39.0,1.0,1.0,2.0,1.0,1.0,2.0,1
V0065,E-Bike,16,60,2.0,54000.0,27000.0,18.0,0.0,1.0,1.0,0.0,2.0,2.0,1
V0066,E-Bike,91,66,2.0,85500.0,42750.0,28.5,0.0,1.0,0.0,0.0,2.0,2.0,1
V0067,E-Bike,25,30,2.0,109500.0,54750.0,36.5,1.0,1.0,1.0,0.0,1.0,1.0,0
V0068,E-Bike,35,65,3.0,85500.0,28500.0,19.0,1.0,2.0,1.0,1.0,2.0,3.0,1
V0069,E-Bike,90,73,3.0,115500.0,38500.0,25.666666666666668,2.0,1.0,0.0,0.0,3.0,2.0,1
V0070,E-Bike,68,40,1.0,52500.0,52500.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0071,E-Bike,59,66,1.0,55500.0,55500.0,37.0,0.0,1.0,0.0,0.0,1.0,1.0,1
V0072,E-Bike,66,53,7.0,310500.0,44357.142857142855,29.571428571428573,3.0,3.0,1.0,1.0,7.0,5.0,1
V0073,E-Bike,73,77,3.0,147000.0,49000.0,32.666666666666664,1.0,1.0,1.0,0.0,3.0,3.0,1
V0074,E-Bike,83,61,1.0,36000.0,36000.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,1
V0075,E-Bike,71,38,3.0,132000.0,44000.0,29.333333333333332,2.0,0.0,1.0,1.0,3.0,2.0,1
V0076,E-Bike,29,88,3.0,112500.0,37500.0,25.0,1.0,0.0,1.0,1.0,2.0,3.0,1
V0077,E-Bike,64,73,4.0,160500.0,40125.0,26.75,2.0,1.0,1.0,1.0,4.0,3.0,1
V0078,E-Bike,60,50,8.0,282000.0,35250.0,23.5,2.0,2.0,2.0,2.0,6.0,5.0,1
V0079,E-Bike,53,43,4.0,100500.0,25125.0,16.75,2.0,1.0,0.0,0.0,4.0,4.0,1
V0080,E-Bike,23,41,5.0,184500.0,36900.0,24.6,2.0,2.0,1.0,1.0,4.0,4.0,1
V0081,E-Bike,93,73,2.0,51000.0,25500.0,17.0,1.0,1.0,1.0,0.0,2.0,1.0,1
V0082,E-Bike,71,55,4.0,151500.0,37875.0,25.25,1.0,0.0,0.0,0.0,3.0,4.0,1
V0083,E-Bike,92,58,5.0,178500.0,35700.0,23.8,2.0,3.0,0.0,0.0,5.0,4.0,1
V0084,E-Bike,83,47,4.0,126000.0,31500.0,21.0,1.0,2.0,0.0,0.0,4.0,2.0,1
V0085,E-Bike,52,88,3.0,154500.0,51500.0,34.333333333333336,2.0,1.0,0.0,0.0,3.0,2.0,1
V0086,E-Bike,65,53,2.0,100500.0,50250.0,33.5,0.0,1.0,1.0,0.0,2.0,2.0,1
V0087,E-Bike,84,43,3.0,81000.0,27000.0,18.0,2.0,1.0,1.0,0.0,3.0,3.0,1
V0088,E-Bike,100,85,2.0,88500.0,44250.0,29.5,0.0,2.0,1.0,1.0,2.0,2.0,1
V0089,E-Bike,63,54,1.0,21000.0,21000.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,1
V0090,E-Bike,70,47,1.0,57000.0,57000.0,38.0,1.0,0.0,0.0,0.0,1.0,1.0,1
V0091,E-Bike,51,63,2.0,76500.0,38250.0,25.5,0.0,0.0,0.0,0.0,2.0,2.0,1
V0092,E-Bike,31,42,5.0,181500.0,36300.0,24.2,0.0,1.0,0.0,0.0,3.0,4.0,1
V0093,E-Bike,14,74,6.0,144000.0,24000.0,16.0,2.0,3.0,3.0,3.0,5.0,4.0,1
V0094,E-Bike,14,53,1.0,31500.0,31500.0,21.0,1.0,1.0,0.0,0.0,1.0,1.0,1
V0095,E-Bike,12,85,2.0,66000.0,33000.0,22.0,0.0,0.0,0.0,0.0,2.0,2.0,1
V0096,E-Bike,27,83,1.0,10500.0,10500.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0097,E-Bike,71,79,4.0,148500.0,37125.0,24.75,4.0,1.0,0.0,0.0,3.0,3.0,1
V0098,E-Bike,71,86,2.0,73500.0,36750.0,24.5,1.0,1.0,0.0,0.0,2.0,2.0,1
V0099,E-Bike,36,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0100,E-Bike,14,78,2.0,78000.0,39000.0,26.0,2.0,1.0,0.0,0.0,1.0,1.0,1
V0101,E-Bike,42,62,2.0,82500.0,41250.0,27.5,1.0,2.0,0.0,0.0,2.0,2.0,1
V0102,E-Bike,17,73,5.0,226500.0,45300.0,30.2,2.0,2.0,0.0,0.0,3.0,3.0,1
V0103,E-Bike,67,78,6.0,267000.0,44500.0,29.666666666666668,2.0,2.0,2.0,1.0,4.0,4.0,1
V0104,E-Bike,63,74,2.0,121500.0,60750.0,40.5,0.0,0.0,0.0,0.0,2.0,2.0,1
V0105,E-Bike,73,33,3.0,138000.0,46000.0,30.666666666666668,0.0,1.0,0.0,0.0,2.0,3.0,1
V0106,E-Bike,54,75,4.0,127500.0,31875.0,21.25,3.0,0.0,1.0,0.0,3.0,4.0,1
V0107,E-Bike,99,65,4.0,102000.0,25500.0,17.0,4.0,1.0,0.0,0.0,4.0,3.0,1
V0108,E-Bike,19,87,5.0,135000.0,27000.0,18.0,4.0,2.0,1.0,0.0,4.0,4.0,1
V0109,E-Bike,100,57,3.0,112500.0,37500.0,25.0,1.0,1.0,0.0,0.0,2.0,3.0,1
V0110,E-Bike,23,89,3.0,184500.0,61500.0,41.0,2.0,1.0,0.0,0.0,3.0,2.0,1
V0111,E-Bike,98,80,2.0,106500.0,53250.0,35.5,0.0,1.0,2.0,2.0,2.0,2.0,1
V0112,E-Bike,63,78,4.0,97500.0,24375.0,16.25,1.0,2.0,0.0,0.0,4.0,4.0,1
V0113,E-Bike,55,72,4.0,112500.0,28125.0,18.75,2.0,0.0,0.0,0.0,3.0,4.0,1
V0114,E-Bike,29,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
V0115,E-Bike,11,30,3.0,87000.0,29000.0,19.333333333333332,2.0,0.0,0.0,0.0,3.0,3.0,1
V0116,E-Bike,37,88,1.0,61500.0,61500.0,41.0,1.0,1.0,0.0,0.0,1.0,1.0,1
V0117,E-Bike,66,85,3.0,136500.0,45500.0,30.333333333333332,2.0,1.0,1.0,1.0,3.0,3.0,1
V0118,E-Bike,25,68,4.0,166500.0,41625.0,27.75,3.0,2.0,0.0,0.0,3.0,3.0,1
V0119,E-Bike,65,36,1.0,31500.0,31500.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0120,E-Bike,46,69,6.0,288000.0,48000.0,32.0,1.0,2.0,1.0,1.0,5.0,4.0,1
V0121,E-Bike,43,37,5.0,163500.0,32700.0,21.8,2.0,1.0,0.0,0.0,5.0,4.0,1
V0122,E-Bike,84,84,5.0,189000.0,37800.0,25.2,2.0,2.0,2.0,1.0,4.0,5.0,1
V0123,E-Bike,85,86,5.0,192000.0,38400.0,25.6,2.0,3.0,3.0,1.0,3.0,4.0,1
V0124,E-Bike,93,83,2.0,76500.0,38250.0,25.5,0.0,0.0,1.0,1.0,2.0,1.0,1
V0125,E-Bike,53,52,2.0,91500.0,45750.0,30.5,0.0,1.0,1.0,0.0,2.0,2.0,1
V0126,E-Bike,10,41,3.0,117000.0,39000.0,26.0,0.0,2.0,0.0,0.0,2.0,2.0,1
V0127,E-Bike,61,83,6.0,199500.0,33250.0,22.166666666666668,1.0,1.0,0.0,0.0,4.0,4.0,1
V0128,E-Bike,61,63,5.0,105000.0,21000.0,14.0,4.0,2.0,1.0,0.0,4.0,3.0,1
V0129,E-Bike,65,44,3.0,121500.0,40500.0,27.0,2.0,0.0,0.0,0.0,3.0,2.0,1
V0130,E-Bike,31,62,4.0,195000.0,48750.0,32.5,1.0,2.0,0.0,0.0,3.0,4.0,1
V0131,E-Bike,40,59,3.0,114000.0,38000.0,25.333333333333332,3.0,1.0,0.0,0.0,3.0,3.0,1
V0132,E-Bike,70,57,1.0,51000.0,51000.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0133,E-Bike,34,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0134,E-Bike,66,59,2.0,81000.0,40500.0,27.0,0.0,1.0,1.0,1.0,2.0,2.0,1
V0135,E-Bike,83,54,6.0,256500.0,42750.0,28.5,2.0,2.0,0.0,0.0,4.0,5.0,1
V0136,E-Bike,24,62,5.0,193500.0,38700.0,25.8,3.0,2.0,1.0,0.0,3.0,3.0,1
V0137,E-Bike,65,51,1.0,49500.0,49500.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,1
V0138,E-Bike,61,60,4.0,99000.0,24750.0,16.5,3.0,0.0,2.0,0.0,3.0,4.0,1
V0139,E-Bike,94,66,4.0,169500.0,42375.0,28.25,2.0,3.0,0.0,0.0,3.0,4.0,1
V0140,E-Bike,68,69,3.0,100500.0,33500.0,22.333333333333332,2.0,1.0,1.0,0.0,2.0,2.0,1
V0141,E-Bike,29,44,4.0,108000.0,27000.0,18.0,3.0,1.0,1.0,0.0,4.0,3.0,1
V0142,E-Bike,91,38,3.0,115500.0,38500.0,25.666666666666668,1.0,0.0,1.0,1.0,3.0,3.0,1
V0143,E-Bike,78,39,3.0,171000.0,57000.0,38.0,2.0,0.0,2.0,2.0,2.0,3.0,1
V0144,E-Bike,63,84,2.0,54000.0,27000.0,18.0,2.0,1.0,0.0,0.0,2.0,2.0,1
V0145,E-Bike,68,47,5.0,225000.0,45000.0,30.0,1.0,2.0,0.0,0.0,3.0,5.0,1
V0146,E-Bike,90,77,7.0,189000.0,27000.0,18.0,4.0,1.0,0.0,0.0,5.0,4.0,1
V0147,E-Bike,93,38,5.0,229500.0,45900.0,30.6,2.0,3.0,1.0,1.0,4.0,4.0,1
V0148,E-Bike,82,38,6.0,190500.0,31750.0,21.166666666666668,3.0,1.0,1.0,1.0,4.0,6.0,1
V0149,E-Bike,64,83,2.0,103500.0,51750.0,34.5,1.0,0.0,1.0,1.0,2.0,1.0,1
V0150,E-Bike,53,47,3.0,79500.0,26500.0,17.666666666666668,2.0,1.0,0.0,0.0,3.0,3.0,1
V0151,E-Bike,94,32,5.0,169500.0,33900.0,22.6,1.0,0.0,1.0,1.0,4.0,4.0,1
V0152,E-Bike,43,62,10.0,364500.0,36450.0,24.3,4.0,6.0,4.0,2.0,7.0,4.0,1
V0153,E-Bike,94,71,1.0,10500.0,10500.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1
V0154,E-Bike,13,72,3.0,108000.0,36000.0,24.0,1.0,1.0,0.0,0.0,3.0,3.0,1
V0155,E-Bike,51,36,4.0,177000.0,44250.0,29.5,2.0,1.0,0.0,0.0,3.0,2.0,1
V0156,E-Bike,41,56,7.0,252000.0,36000.0,24.0,4.0,3.0,2.0,1.0,5.0,6.0,1
V0157,E-Bike,67,55,2.0,94500.0,47250.0,31.5,1.0,0.0,0.0,0.0,1.0,2.0,1
V0158,E-Bike,24,58,4.0,177000.0,44250.0,29.5,2.0,2.0,2.0,0.0,3.0,3.0,1
V0159,E-Bike,87,61,3.0,51000.0,17000.0,11.333333333333334,1.0,0.0,3.0,2.0,3.0,3.0,1
V0160,E-Bike,39,43,4.0,181500.0,45375.0,30.25,3.0,1.0,1.0,1.0,3.0,4.0,1
V0161,E-Bike,99,31,3.0,118500.0,39500.0,26.333333333333332,2.0,1.0,0.0,0.0,3.0,2.0,1
V0162,E-Bike,19,70,2.0,70500.0,35250.0,23.5,2.0,0.0,0.0,0.0,2.0,1.0,1
V0163,E-Bike,92,84,1.0,40500.0,40500.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0164,E-Bike,63,44,4.0,156000.0,39000.0,26.0,2.0,2.0,1.0,1.0,2.0,4.0,1
V0165,E-Bike,45,34,5.0,235500.0,47100.0,31.4,2.0,0.0,0.0,0.0,4.0,4.0,1
V0166,E-Bike,56,62,2.0,46500.0,23250.0,15.5,1.0,2.0,0.0,0.0,2.0,2.0,1
V0167,E-Bike,59,74,4.0,124500.0,31125.0,20.75,1.0,2.0,0.0,0.0,3.0,3.0,1
V0168,E-Bike,19,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0169,E-Bike,68,56,2.0,84000.0,42000.0,28.0,1.0,1.0,1.0,1.0,2.0,2.0,1
V0170,E-Bike,61,53,2.0,70500.0,35250.0,23.5,1.0,1.0,0.0,0.0,2.0,2.0,1
V0171,E-Bike,97,60,3.0,106500.0,35500.0,23.666666666666668,1.0,1.0,1.0,0.0,3.0,2.0,1
V0172,E-Bike,55,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0173,E-Bike,88,73,3.0,76500.0,25500.0,17.0,2.0,2.0,2.0,1.0,3.0,3.0,1
V0174,E-Bike,42,57,5.0,147000.0,29400.0,19.6,1.0,0.0,0.0,0.0,4.0,4.0,1
V0175,E-Bike,97,60,6.0,292500.0,48750.0,32.5,3.0,0.0,0.0,0.0,4.0,5.0,1
V0176,E-Bike,16,87,1.0,7500.0,7500.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1
V0177,E-Bike,21,48,9.0,348000.0,38666.666666666664,25.77777777777778,4.0,0.0,1.0,1.0,7.0,7.0,1
V0178,E-Bike,75,71,1.0,22500.0,22500.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1
V0179,E-Bike,67,90,3.0,112500.0,37500.0,25.0,0.0,0.0,0.0,0.0,3.0,3.0,1
V0180,E-Bike,22,71,3.0,70500.0,23500.0,15.666666666666666,1.0,1.0,0.0,0.0,3.0,3.0,1
V0181,E-Bike,84,64,3.0,133500.0,44500.0,29.666666666666668,1.0,0.0,1.0,1.0,2.0,3.0,1
V0182,E-Bike,61,32,1.0,42000.0,42000.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0183,E-Bike,13,73,5.0,162000.0,32400.0,21.6,3.0,3.0,1.0,1.0,4.0,4.0,1
V0184,E-Bike,52,51,1.0,19500.0,19500.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0185,E-Bike,51,69,2.0,81000.0,40500.0,27.0,1.0,0.0,0.0,0.0,2.0,2.0,1
V0186,E-Bike,93,57,3.0,126000.0,42000.0,28.0,3.0,1.0,0.0,0.0,3.0,3.0,1
V0187,E-Bike,45,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0188,E-Bike,33,69,3.0,172500.0,57500.0,38.333333333333336,0.0,0.0,2.0,0.0,3.0,3.0,1
V0189,E-Bike,87,60,5.0,174000.0,34800.0,23.2,0.0,3.0,2.0,2.0,5.0,5.0,1
V0190,E-Bike,65,43,6.0,255000.0,42500.0,28.333333333333332,2.0,1.0,0.0,0.0,5.0,5.0,1
V0191,E-Bike,60,69,1.0,46500.0,46500.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0192,E-Bike,62,74,7.0,238500.0,34071.42857142857,22.714285714285715,1.0,1.0,1.0,1.0,3.0,4.0,1
V0193,E-Bike,77,33,4.0,183000.0,45750.0,30.5,2.0,2.0,1.0,0.0,3.0,3.0,1
V0194,E-Bike,81,38,3.0,87000.0,29000.0,19.333333333333332,2.0,0.0,0.0,0.0,3.0,3.0,1
V0195,E-Bike,98,64,2.0,45000.0,22500.0,15.0,1.0,0.0,1.0,1.0,2.0,1.0,1
V0196,E-Bike,18,89,4.0,177000.0,44250.0,29.5,1.0,2.0,1.0,0.0,2.0,3.0,1
V0197,E-Bike,35,43,7.0,237000.0,33857.142857142855,22.571428571428573,2.0,1.0,1.0,0.0,6.0,4.0,1
V0198,E-Bike,17,48,2.0,115500.0,57750.0,38.5,0.0,1.0,0.0,0.0,2.0,2.0,1
V0199,E-Bike,75,41,4.0,99000.0,24750.0,16.5,3.0,1.0,0.0,0.0,3.0,4.0,1
V0200,E-Bike,68,42,6.0,193500.0,32250.0,21.5,2.0,2.0,3.0,1.0,5.0,5.0,1
V0201,E-Bike,46,64,3.0,106500.0,35500.0,23.666666666666668,1.0,1.0,2.0,0.0,2.0,2.0,1
V0202,E-Bike,92,59,3.0,97500.0,32500.0,21.666666666666668,2.0,1.0,2.0,0.0,2.0,2.0,1
V0203,E-Bike,97,84,1.0,21000.0,21000.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0204,E-Bike,37,40,7.0,271500.0,38785.71428571428,25.857142857142858,3.0,3.0,3.0,1.0,5.0,6.0,1
V0205,E-Bike,34,72,3.0,57000.0,19000.0,12.666666666666666,2.0,1.0,1.0,0.0,3.0,3.0,1
V0206,E-Bike,75,70,4.0,156000.0,39000.0,26.0,2.0,1.0,0.0,0.0,2.0,4.0,1
V0207,E-Bike,21,73,4.0,177000.0,44250.0,29.5,1.0,2.0,3.0,0.0,4.0,3.0,1
V0208,E-Bike,68,90,2.0,78000.0,39000.0,26.0,2.0,1.0,0.0,0.0,1.0,2.0,1
V0209,E-Bike,49,39,2.0,70500.0,35250.0,23.5,0.0,0.0,0.0,0.0,2.0,2.0,1
V0210,E-Bike,35,83,2.0,87000.0,43500.0,29.0,0.0,0.0,0.0,0.0,2.0,2.0,1
V0211,E-Bike,23,76,3.0,97500.0,32500.0,21.666666666666668,1.0,0.0,1.0,0.0,2.0,3.0,1
V0212,E-Bike,26,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0213,E-Bike,60,33,5.0,163500.0,32700.0,21.8,3.0,1.0,1.0,0.0,5.0,4.0,1
V0214,E-Bike,97,83,3.0,126000.0,42000.0,28.0,1.0,1.0,0.0,0.0,2.0,3.0,1
V0215,E-Bike,73,59,2.0,28500.0,14250.0,9.5,0.0,0.0,1.0,0.0,2.0,2.0,1
V0216,E-Bike,30,72,3.0,52500.0,17500.0,11.666666666666666,2.0,1.0,1.0,0.0,3.0,3.0,1
V0217,E-Bike,98,42,6.0,165000.0,27500.0,18.333333333333332,3.0,3.0,0.0,0.0,5.0,4.0,1
V0218,E-Bike,61,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0219,E-Bike,57,63,4.0,153000.0,38250.0,25.5,2.0,0.0,0.0,0.0,2.0,2.0,1
V0220,E-Bike,15,78,4.0,108000.0,27000.0,18.0,1.0,1.0,2.0,1.0,3.0,4.0,1
V0221,E-Bike,51,64,4.0,129000.0,32250.0,21.5,2.0,1.0,1.0,1.0,3.0,3.0,1
V0222,E-Bike,31,30,1.0,51000.0,51000.0,34.0,1.0,0.0,0.0,0.0,1.0,1.0,0
V0223,E-Bike,87,36,3.0,174000.0,58000.0,38.666666666666664,2.0,1.0,0.0,0.0,3.0,2.0,1
V0224,E-Bike,58,68,1.0,24000.0,24000.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,1
V0225,E-Bike,55,52,5.0,127500.0,25500.0,17.0,2.0,3.0,1.0,0.0,3.0,3.0,1
V0226,E-Bike,59,63,4.0,159000.0,39750.0,26.5,2.0,1.0,1.0,0.0,2.0,2.0,1
V0227,E-Bike,85,69,6.0,219000.0,36500.0,24.333333333333332,4.0,2.0,0.0,0.0,4.0,5.0,1
V0228,E-Bike,36,36,6.0,190500.0,31750.0,21.166666666666668,3.0,1.0,1.0,1.0,5.0,5.0,1
V0229,E-Bike,80,65,4.0,118500.0,29625.0,19.75,3.0,1.0,1.0,1.0,4.0,3.0,1
V0230,E-Bike,33,62,6.0,219000.0,36500.0,24.333333333333332,4.0,1.0,0.0,0.0,3.0,5.0,1
V0231,E-Bike,22,67,2.0,48000.0,24000.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,1
V0232,E-Bike,66,60,2.0,91500.0,45750.0,30.5,1.0,2.0,1.0,0.0,2.0,2.0,1
V0233,E-Bike,40,85,2.0,60000.0,30000.0,20.0,1.0,2.0,0.0,0.0,2.0,1.0,1
